sentence_id,sentence_text,label_chase,label_clara,label_leah,label_xiayi,vote_sum,gold_label
50626,Would definitely return.,0,0,0,0,0,0
5540,These gardens have a light show nightly we could watch perfectly from the balcony of our room.,0,0,0,0,0,0
43484,Check in was fairly slow and took us about 15 minutes.,0,0,1,1,2,0
35114,Try to get a package as it is expensive.,0,1,1,0,2,1
38650,"The bed was very comfortable, the room was very spacious and seem to have everything in it to accommodate your needs.",0,0,0,0,0,0
63090,I would reccommend MBS to anyone wanting that WOW factor or celebrating a special occasaion.,0,1,0,0,1,0
38236,It is an amazing hotel great experience.,0,0,0,0,0,0
23947,Pros:  -great location.,0,0,0,0,0,0
66564,The first night I wanted a quick drink and to check email before I met a colleague but could not find space to put a laptop down.,0,0,1,1,2,0
51400,My only small wish is that they would leave a little space in the mini bar to put some fresh milk but that's a minor issue in an otherwise wonderful resort with everything from simple Dim Sum restaurants to celebrity chef restaurants.,1,1,1,1,4,1
19552,"because on the qualifying day we decided to be up in the bar instead of being on the track, so we chose to be in ce la vie, however on entering, the hostess told us that for us to find a table our minimum spend per person should be $250.",0,0,1,0,1,0
66446,.make sure you have plenty of money you will need it.,1,1,1,1,4,1
50122,"Rooms are as usual all well maintained and very clean, sheets beds all up to top standard you would expect.",0,0,0,0,0,0
39670,Excellent in all respects.,0,0,0,0,0,0
62095,The only negative I could say was the room service ordered by us on 29th night where the club sandwich was dry and the chicken was tasteless but everything else was so good I guess the 71.00 SGD spent on it can be overlooked,0,0,1,0,1,0
28522,Didn 't manage to try any restaurants.,0,0,1,0,1,0
47766,As is the pool.,0,0,0,0,0,0
8801,"Either be a world class hotel or a Disney land attraction, but don 't try and be both.",0,0,1,1,2,1
35610,We got the Club Room with City views at a reasonable price.,0,0,0,0,0,0
31051,"Make sure you leave time to explore - there are cool things everywhere like the mirrors on the outside that move with the wind, or the fountain that looks like a big    ""water pinball   "" wall near the pick up zone outside tower 3.",1,1,0,1,3,1
24053,Room service staff were always prompt and very friendly and the housekeeping staff would always leave some cute little friends made out of towels/face cloths :),0,0,0,0,0,0
9436,"We recently stayed in Singapore for 4 nights, 3 in a hotel on Clarke Quay and the last night in MBS, basically because that 's all we could afford!!",0,0,0,0,0,0
46444,Reservation rules should be put in place to allow for fairness.,1,1,1,1,4,1
50574,"and I was among the lucky ones that could check in 3h earlier than the usual check-in time 3pm, which I think is freaking late.",0,0,1,0,1,0
31117,"The service was pretty good, my only complaint would be the cost.",0,1,1,0,2,0
17275,I book the Orchard Suite with City View in Mid. June at Agoda.com for my son's Birthday.,0,0,0,0,0,0
24056,"The room we had was amazing, I recommend to ask for a room with a city view on a high floor.",0,1,1,1,3,1
50010,The views at night are spectacular with day views almost as good.,0,0,0,0,0,0
53888,"This massive hotel is one of those    ""bucket list   "" destinations - stay there, even if only to tick it off your list.",0,0,0,0,0,0
19254,"I'm not saying this to drive you away from this hotel, being able to swim in the pool on top of the city of Singapore was well worth the so-so room.",0,0,1,0,1,0
57520,We had 3 people in one room and the third had a foldout bed which was a little disapointing but was still comfee,0,0,1,0,1,0
30995,For me this was the best part.,0,0,0,0,0,0
49557,Everyone had a camera in hand and capturing pictures.,0,0,1,0,1,0
51976,Would recommend this hotel to anyone while they are visiting Singapore!,0,0,0,0,0,0
52359,It felt quite chaotic.,0,0,1,0,1,0
6561,"Or, walk to Singapore 's Civic District and its many historical and entertainment spots.    -",0,0,0,1,1,0
31485,Highly recommend u2764 ufe0f,0,0,0,0,0,0
9564,Pricey but worth the treat once a lifetime!!!,0,0,0,0,0,0
42701,"yes,there are so many other properties that provide good service and hospitality but the beautiful design,view this hotel offers is a notch higher.",0,0,1,0,1,0
14331,The reason I gave this title was because these big flash iconic hotels leave me cold.,0,0,1,0,1,0
4263,SPAGO (POOL SIDE),0,0,1,0,1,0
46555,I would stay here again for sure.,0,0,0,0,0,0
19811,This establishment is the epitome of class and comfort at its finest.,0,0,0,0,0,0
24791,We could see the light show from our room if we wanted to.,0,0,0,0,0,0
46017,Admittedly we only stayed at the Marina Bay Sands for use of the spectacular infinity pool and it lived up to our expectations and more!,0,0,0,0,0,0
34825,"The hotel has lots of facilities, lots of restaurants but the price goes with the clientele they are after - which isn't someone who is broke... make of this review what you will.",0,0,1,0,1,0
69741,The breakfast is very good with a huge spread.,0,0,0,0,0,0
11457,"but it was never crazy busy, and we could always get a lounge chair.",0,0,0,0,0,0
57307,Breakfast was very good with great waiting staff.,0,0,0,0,0,0
52714,A great one stop place in Singapore.,0,0,0,0,0,0
31307,Beds and rooms also confortables!!!,0,0,0,0,0,0
47812,"For being voted as one of the best hotels in the world, we were somewhat disappointed with the room.",0,0,0,0,0,0
46801,Need to walk to Tower 1 where it linked to the Shoppes at Marina Bay Sands where abundance of mid-range and upmarket shopping and eating awaits.,0,1,1,0,2,0
15732,"I would say expect the best for everything, the bed, the food, the sound proofing, the bath etc.",0,0,0,0,0,0
10802,"However, even more annoying was, that the adults only whirpool was not really an adults only pool and neither the lifeguards, nor the pool guys, nor staff walking around in suits are able or willing to tell the kids/parents to keep this whirpool for adults only (please remark, there is also a family whirlpool).",0,0,1,0,1,0
24483,but it 's all a matter of taste as both are amazing!,0,0,0,0,0,0
40551,"Although initially sceptical due to some average reviews and the sheer size of the complex, I ended up very pleased with my stay at the MBS and would come here again when in Singapore.",0,0,0,0,0,0
15501,Try to get there first thing in the morning when they open (6am) when it's still empty.,0,0,1,1,2,1
11031,The charges may be optimized and some restaurants should be set up to offer vegetarian food.,1,1,1,1,4,1
56736,There Sands SkyPark Observation Deck Take in the stunning views from the public observation deck at Marina Bay Sands.,0,0,0,1,1,0
67660,I stayed at the hotel on 3 March on the 42nd floor in Tower 3.,0,0,0,0,0,0
33774,We booked for a Grand Club Room.,0,0,0,0,0,0
3937,You can opt for Rise (in the lobby) or Spago (55th floor).,0,0,1,1,2,0
43443,"If you can, pick city skyline or premier room, which are higher.",0,1,1,1,3,1
17441,This place is amazing and should be on everyone's bucket list.,0,0,0,0,0,0
26412,We spend most of our time at the pool from morning to night.,0,0,0,0,0,0
43785,The pool is amazing during the day but even more spectacular at night.,0,0,0,0,0,0
16444,"The Pool,was again fantastic,stunning views over Singapore and was even better at night when everything was lit up  Would highly recommend,not cheap but well worth it.",0,0,1,0,1,0
52271,The room was very very spacious.,0,0,0,0,0,0
67380,"I always found a free spot at the pool, did not have to wait long at check-in nor at check-out and we always got seated at breakfast in less than five minutes.",0,0,0,0,0,0
